epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,23.9687,0.59358,0.80769,1,0.52261,0.00036674,0.00036674,0.00036674
2,49.1838,0.49905,0.78205,1,0.49372,0.000713018,0.000713018,0.000713018
3,72.287,0.39977,0.80769,1,0.47244,0.00102134,0.00102134,0.00102134
4,95.276,0.30377,0.75641,1,0.42673,0.0012917,0.0012917,0.0012917
5,118.504,0.28754,0.80769,1,0.50712,0.00133693,0.00133693,0.00133693
6,141.762,0.24788,0.75641,1,0.50561,0.00125442,0.00125442,0.00125442
7,164.918,0.25951,0.62821,1,0.77114,0.0011719,0.0011719,0.0011719
8,188.089,0.24428,0.74359,1,0.45707,0.00108938,0.00108938,0.00108938
9,210.916,0.17116,0.80769,1,0.45813,0.00100687,0.00100687,0.00100687
10,234.065,0.16652,0.82051,1,0.58957,0.000924352,0.000924352,0.000924352
11,257.153,0.13715,0.80769,1,0.60257,0.000841835,0.000841835,0.000841835
12,280.088,0.12266,0.78205,1,0.7487,0.000759318,0.000759318,0.000759318
13,302.973,0.1641,0.73077,1,0.923,0.000676802,0.000676802,0.000676802
14,326.099,0.11422,0.71795,1,0.85879,0.000594286,0.000594286,0.000594286
15,349.113,0.10678,0.76923,1,0.61846,0.000511769,0.000511769,0.000511769
16,372.216,0.11038,0.79487,1,0.58632,0.000429253,0.000429253,0.000429253
17,395.165,0.09366,0.78205,1,0.71352,0.000346736,0.000346736,0.000346736
18,418.114,0.06282,0.76923,1,0.53697,0.00026422,0.00026422,0.00026422
19,441.027,0.10054,0.78205,1,0.7031,0.000181703,0.000181703,0.000181703
20,463.692,0.08637,0.78205,1,0.60202,9.91865e-05,9.91865e-05,9.91865e-05
